id,time_days,timestamp_ms,latitude,longitude,magnitude,parent_id,generation,time_utc
sim_84,0.24908138285035006,1782360194020,9.594710249065505,-67.20822935309971,3.2,us6000t7zp,1,2026-06-25 04:03:14
sim_346,0.2503865217272734,1782360306784,9.597518554114112,-67.14833739894726,3.4,sim_84,2,2026-06-25 04:05:06
sim_37,0.25086552336849327,1782360348170,11.394755574892384,-67.63841478986535,2.5,us6000t7zp,1,2026-06-25 04:05:48
sim_233,0.25778920945873063,1782360946376,10.498258417886783,-68.57723486939784,2.1,us6000t7zc,1,2026-06-25 04:15:46
sim_216,0.2824753150786604,1782363079256,10.653427802907443,-68.40707942185917,2.8,us6000t7zp,1,2026-06-25 04:51:19
sim_186,0.2828106484246041,1782363108229,10.747642636874257,-68.2404536417441,2.1,us6000t7zp,1,2026-06-25 04:51:48
sim_162,0.2846551742498737,1782363267596,9.313099874499581,-67.459309472775,2.1,us6000t7zp,1,2026-06-25 04:54:27
sim_197,0.28841918526174376,1782363592806,10.458858965836226,-68.48592775642366,2.4,us6000t7zp,1,2026-06-25 04:59:52
sim_274,0.321186532539634,1782366423905,10.535128610976118,-68.53388501060677,2.0,us6000t7zc,1,2026-06-25 05:47:03
us6000t81p,0.32210355324074075,1782366503136,10.5111,-66.5057,4.4,NONE,0,2026-06-25 05:48:23
sim_211,0.32267896554820974,1782366552851,10.450374514572141,-68.46120850046853,2.4,us6000t7zp,1,2026-06-25 05:49:12
sim_19,0.3244760536585663,1782366708120,10.699539468745066,-66.58771759702476,2.0,us6000t81p,1,2026-06-25 05:51:48
sim_171,0.3345550095219647,1782367578941,10.395147196522986,-68.3859269237784,2.3,us6000t7zp,1,2026-06-25 06:06:18
sim_204,0.34561043392156354,1782368534130,10.43440563715019,-68.43565489364074,2.1,us6000t7zp,1,2026-06-25 06:22:14
sim_258,0.3581460435574862,1782369617207,10.323585296247938,-68.53663656996449,2.6,us6000t7zc,1,2026-06-25 06:40:17
sim_377,0.38069126531740305,1782371565114,10.672217524230998,-68.91452993399999,2.1,sim_256,2,2026-06-25 07:12:45
sim_378,0.3914898046002343,1782372498108,9.765952693079779,-68.97169144444959,2.1,sim_258,2,2026-06-25 07:28:18
sim_24,0.4005016806198148,1782373276734,10.103309780734355,-68.1898847006315,2.1,us6000t7zp,1,2026-06-25 07:41:16
sim_261,0.4032488989272545,1782373514093,10.343449658694485,-68.572238434511,3.9,us6000t7zc,1,2026-06-25 07:45:14
sim_92,0.40961714096929186,1782374064309,10.124232589142805,-68.46257501011854,2.8,us6000t7zp,1,2026-06-25 07:54:24
sim_306,0.4156524745200274,1782374585762,10.43917307951985,-68.58873516940665,2.5,us6000t7zc,1,2026-06-25 08:03:05
